City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2021,BS,WC,boulder,Women,5,Stasa,Gejo,SRB,1997,4T4z 10 8,11,2T3z 5 6,5,,,,,3T3z 11 10,5
Salt Lake City,USA,2021,BS,WC,boulder,Women,6,Miho,Nonaka,JPN,1997,5T5z 6 6,2,2T4z 7 11,2,,,,,2T4z 5 9,6
Salt Lake City,USA,2021,BS,WC,boulder,Women,7,Katja,Debevec,SLO,1995,4T4z 11 8,12,1T4z 3 10,7,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,8,Kyra,Condie,USA,1996,4T4z 9 8,10,1T4z 11 11,8,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,9,Futaba,Ito,JPN,2002,5T5z 14 13,4,1T3z 1 7,9,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,10,Fanny,Gibert,FRA,1993,4T5z 14 15,7,1T3z 3 6,10,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,11,Afra,Hönig,GER,1995,4T4z 11 8,12,1T3z 4 7,11,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,12,Petra,Klingler,SUI,1992,4T4z 11 9,14,1T3z 5 5,12,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,13,Camilla,Moroni,ITA,2001,4T5z 13 16,6,1T3z 6 10,13,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,14,Mao,Nakamura,JPN,2000,3T4z 8 9,19,1T2z 3 2,14,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,15,Hannah,Meul,GER,2001,3T4z 6 6,18,0T3z 0 10,15,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,16,Kylie,Cullen,USA,2004,4T4z 13 8,15,0T2z 0 6,16,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,17,Vita,Lukan,SLO,2000,4T4z 16 14,16,0T2z 0 6,17,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,18,Akiyo,Noguchi,JPN,1989,4T5z 11 15,5,0T2z 0 11,18,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,19,Ryu,NAKAGAWA,JPN,2004,4T4z 6 4,8,0T2z 0 13,19,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,20,Franziska,Sterrer,AUT,1998,3T4z 8 14,20,0T0z 0 0,20,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,21,Lucia,Dörffel,GER,2000,3T4z 14 14,21,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,22,Ayala,Kerem,ISR,2001,3T4z 16 17,22,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,23,Giorgia,Tesio,ITA,2000,3T3z 7 5,23,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,24,Alma,Bestvater,GER,1996,2T4z 3 13,24,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,25,Maya,Madere,USA,1999,2T4z 3 15,25,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,26,Chloe,Caulier,BEL,1996,2T4z 5 9,26,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,27,Mailys,Piazzalunga,FRA,2001,2T4z 5 11,27,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,28,Sienna,Kopf,USA,2002,2T4z 6 14,28,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,29,Allison,Vest,CAN,1995,2T4z 7 12,29,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,30,Megan,Lynch,USA,1998,2T4z 7 21,30,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,31,Laura,Rogora,ITA,2001,2T4z 9 17,31,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,32,Miku,ISHII,JPN,2000,2T3z 5 3,32,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,33,Holly,Toothill,GBR,2001,2T3z 6 6,33,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,34,Johanna,Färber,AUT,1998,2T2z 3 3,34,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,35,Emily,Phillips,GBR,2002,1T4z 1 12,35,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,36,Thea,Wulff,USA,2002,1T4z 1 15,36,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,37,Hannah,Slaney,GBR,1999,1T3z 1 10,37,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,38,GENEVIEVE,Dennis,USA,2004,1T3z 1 13,38,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,39,Jennifer,Wood,GBR,1994,1T3z 2 8,39,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,40,Campbell,Sarinopoulos,USA,2004,1T2z 1 9,40,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,41,Katrine,Vandet Salling,DEN,1994,0T4z 0 8,41,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,42,Leonie,Lochner,GER,2000,0T3z 0 9,42,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,43,Alejandra,Contreras,CHI,2000,0T2z 0 9,43,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,44,Naama,Yohai,ISR,2000,0T2z 0 12,44,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,45,Molly,Thompson-Smith,GBR,1997,0T1z 0 1,45,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,46,Elizabeth,Sepulveda,PUR,2002,0T1z 0 2,46,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,47,Erin,Sterkenburg,RSA,2003,0T1z 0 3,47,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,48,Anouck,Jaubert,FRA,1994,0T1z 0 4,48,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,49,Kathrine Elsig,Jensen,DEN,1996,0T1z 0 5,49,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,50,Natalia,Kalucka,POL,2001,0T0z 0 0,50,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Women,,Yael,Taub,ISR,1996,DNS,,,,,,,,,
Salt Lake City,USA,2022,BS,WC,speed,Men,1,KIROMAL,KATIBIN,INA,2000,5.42,2,,,5.45,5.59,5.49,,5.64,1
Salt Lake City,USA,2022,BS,WC,speed,Men,2,Noah,Bratschi,USA,2000,5.769,8,,,5.87,5.73,5.64,,FALL,2
Salt Lake City,USA,2022,BS,WC,speed,Men,3,VEDDRIQ,LEONARDO,INA,1997,5.687,5,,,5.48,5.6,FALL,5.59,,3
Salt Lake City,USA,2022,BS,WC,speed,Men,4,Ludovico,Fossali,ITA,1997,5.7,6,,,5.79,6.5,FALL,FALL,,4
Salt Lake City,USA,2022,BS,WC,speed,Men,5,John,Brosler,USA,1997,5.20 (PaR),1,,,5.89,6.27,,,,5
Salt Lake City,USA,2022,BS,WC,speed,Men,6,Amir,Maimuratov,KAZ,1995,5.67,3,,,5.87,7.03,,,,6
Salt Lake City,USA,2022,BS,WC,speed,Men,7,Carlos,Granja,ECU,1999,5.762,7,,,6.1,5.73,,,,7
Salt Lake City,USA,2022,BS,WC,speed,Men,8,Samuel,Watson,USA,2006,6.03,13,,,5.81,FALL,,,,8
Salt Lake City,USA,2022,BS,WC,speed,Men,9,Erik,Noya Cardona,ESP,1994,5.685,4,,,7.69,,,,,9
Salt Lake City,USA,2022,BS,WC,speed,Men,10,Marcin,Dzienski,POL,1993,5.78,9,,,6.69,,,,,10
