discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;22;Carlos;Granja;ECU;1999;;;;;5.720;22;;;;;;;;
speed;Men;23;Isaac;Estevez ;ECU;1992;;;;;5.727;23;;;;;;;;
speed;Men;24;Ethan;Pitcher;CAN;2001;;;;;5.80;24;;;;;;;;
speed;Men;25;MINHUI;WANG;CHN;2003;;;;;5.81;25;;;;;;;;
speed;Men;26;Mohsen;Shafiei;IRI;1989;;;;;5.89;26;;;;;;;;
speed;Men;27;Shuto;FUJINO;JPN;2004;;;;;5.91;27;;;;;;;;
speed;Men;28;Joe;Goodacre;USA;2001;;;;;5.924;28;;;;;;;;
speed;Men;29;Lawrence;Bogeschdorfer;AUT;2002;;;;;5.928;29;;;;;;;;
speed;Men;30;Yann;LE CLERCQ DE LANNOY;FRA;1999;;;;;5.96;30;;;;;;;;
speed;Men;31;RAHMAD;ADI MULYONO;INA;2000;;;;;6.000;31;;;;;;;;
speed;Men;32;Matteo;Zurloni;ITA;2002;;;;;6.009;32;;;;;;;;
speed;Men;33;Linus;Bader;GER;2002;;;;;6.01;33;;;;;;;;
speed;Men;34;Cheung-chi Shoji;Chan;HKG;1995;;;;;6.055;34;;;;;;;;
speed;Men;35;Alisher;Murat;KAZ;1997;;;;;6.059;35;;;;;;;;
speed;Men;36;Kostiantyn;Pavlenko;UKR;1998;;;;;6.063;36;;;;;;;;
speed;Men;37;Yudai;Ikeda;JPN;1998;;;;;6.066;37;;;;;;;;
speed;Men;38;Ehsan;Asrar;IRI;1998;;;;;6.10;38;;;;;;;;
speed;Men;39;Zach;Hammer;USA;2006;;;;;6.12;39;;;;;;;;
speed;Men;40;Alejandro;Rivas Domínguez;ESP;2001;;;;;6.144;40;;;;;;;;
speed;Men;41;Minsu;KANG;KOR;2001;;;;;6.149;41;;;;;;;;
speed;Men;42;Taeung;MOON;KOR;2001;;;;;6.16;42;;;;;;;;
speed;Men;43;Cheuk-nam;WONG;HKG;2001;;;;;6.17;43;;;;;;;;
speed;Men;44;Ayumu;MITA;JPN;2005;;;;;6.181;44;;;;;;;;
speed;Men;45;Alessandro;Boulos;ITA;1994;;;;;6.188;45;;;;;;;;
