discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;110;Theofanis-Ermis;THEOCHAROPOULOS;GRE;2000;;;;;0T0z 0 0;110;;;;
boulder;Men;110;Orfeas;TSIAOUSIS;GRE;1999;;;;;0T0z 0 0;110;;;;
boulder;Women;1;Janja;Garnbret;SLO;1999;;;;;5T5z 8 5;1;4T4z 9 4;1;3T3z 3 3;1
boulder;Women;2;Natalia;Grossman;USA;2001;;;;;4T5z 5 6;3;3T4z 5 6;4;3T3z 9 9;2
boulder;Women;3;Stasa;Gejo;SRB;1997;;;;;3T5z 6 6;7;2T4z 4 7;6;1T3z 2 6;3
boulder;Women;4;Futaba;Ito;JPN;2002;;;;;3T5z 12 14;11;3T4z 4 5;2;1T2z 3 8;4
boulder;Women;5;Akiyo;Noguchi;JPN;1989;;;;;3T5z 8 12;3;3T4z 11 10;5;1T1z 1 1;5
boulder;Women;6;Miho;Nonaka;JPN;1997;;;;;4T5z 6 7;5;3T4z 4 5;2;DNS;
boulder;Women;7;Johanna;Färber;AUT;1998;;;;;3T5z 6 7;9;2T4z 6 7;7;;
boulder;Women;8;Brooke;Raboutou;USA;2001;;;;;4T5z 5 5;1;2T3z 4 5;8;;
boulder;Women;9;Laura;Rogora;ITA;2001;;;;;3T4z 8 8;7;2T3z 6 11;9;;
boulder;Women;10;Mao;Nakamura;JPN;2000;;;;;3T4z 6 10;5;2T3z 7 6;10;;
boulder;Women;11;Petra;Klingler;SUI;1992;;;;;2T5z 6 10;15;1T4z 1 11;11;;
boulder;Women;12;Katja;Debevec;SLO;1995;;;;;2T3z 4 6;17;1T4z 1 15;12;;
boulder;Women;13;Franziska;Sterrer;AUT;1998;;;;;2T4z 6 9;19;1T4z 5 7;13;;
boulder;Women;14;Andrea;Kümin;SUI;1997;;;;;2T5z 5 12;13;1T3z 1 3;14;;
boulder;Women;15;Chloe;Caulier;BEL;1996;;;;;2T5z 12 20;11;1T3z 2 9;15;;
boulder;Women;16;Oriane;Bertone;FRA;2005;;;;;2T3z 4 10;19;0T4z 0 7;16;;
boulder;Women;17;Kylie;Cullen;USA;2004;;;;;2T3z 3 9;15;0T3z 0 6;17;;
boulder;Women;18;Sandra;Lettner;AUT;2001;;;;;2T4z 5 9;17;0T3z 0 10;18;;
boulder;Women;19;Julia;Chanourdie;FRA;1996;;;;;2T5z 7 13;9;0T3z 0 19;19;;
boulder;Women;20;Nanako;Kura;JPN;2000;;;;;2T4z 8 8;13;0T2z 0 3;20;;
boulder;Women;21;Kyra;Condie;USA;1996;;;;;2T3z 7 5;21;;;;
boulder;Women;21;Camilla;Moroni;ITA;2001;;;;;2T4z 8 12;21;;;;
boulder;Women;23;Afra;Hönig;GER;1995;;;;;2T3z 3 4;23;;;;
boulder;Women;23;Giorgia;Tesio;ITA;2000;;;;;2T3z 7 6;23;;;;
boulder;Women;25;Mia;Krampl;SLO;2000;;;;;2T2z 8 8;25;;;;
boulder;Women;25;Maya;Dreamer;ISR;2001;;;;;2T3z 7 8;25;;;;
