discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
boulder;Men;37;Jesse;Grupper;USA;1997;2T3z 3 3;37;;;;;;;;
boulder;Men;40;Simon;Hibbeler;USA;1998;1T4z 1 11;40;;;;;;;;
boulder;Men;41;Christoph;Schweiger;GER;2001;1T4z 2 4;41;;;;;;;;
boulder;Men;41;Ciarán;Scanlon;IRL;1995;2T3z 3 4;41;;;;;;;;
boulder;Men;43;Julien;Clémence;SUI;2001;1T4z 1 6;43;;;;;;;;
boulder;Men;43;Benjamin;Vargas;CHI;1999;1T4z 5 7;43;;;;;;;;
boulder;Men;45;Nils;Favre;SUI;1991;1T4z 1 7;45;;;;;;;;
boulder;Men;45;Luke;GOH WEN BIN;SGP;2002;1T3z 1 4;45;;;;;;;;
boulder;Men;45;Michael;O'Neill;IRL;2000;1T4z 1 7;45;;;;;;;;
boulder;Men;45;Felipe ;Ho Foganholo;BRA;1999;1T4z 1 7;45;;;;;;;;
boulder;Men;45;Luke;Muehring;USA;1998;1T3z 1 4;45;;;;;;;;
boulder;Men;50;Alex;Waterhouse;GBR;1997;1T3z 2 3;50;;;;;;;;
boulder;Men;51;Carmel;Raz romeo;ISR;2000;1T4z 3 9;51;;;;;;;;
boulder;Men;51;ARDCH;INTRACHUPONGSE;THA;2004;1T2z 4 3;51;;;;;;;;
boulder;Men;53;MINYOUNG;LEE;KOR;1999;1T3z 1 3;53;;;;;;;;
boulder;Men;53;Alberto;Ginés López;ESP;2002;1T3z 1 3;53;;;;;;;;
boulder;Men;53;DOHYEON;KIM;KOR;2005;0T4z 0 8;53;;;;;;;;
boulder;Men;56;Yotam;Ben reuven;ISR;2001;0T3z 0 3;56;;;;;;;;
boulder;Men;56;WONWOO;HAN;KOR;2003;0T3z 0 3;56;;;;;;;;
boulder;Men;56;Ronny;Escobar;CHI;1997;0T3z 0 3;56;;;;;;;;
boulder;Men;59;Joe;Goodacre;USA;2001;1T3z 1 4;59;;;;;;;;
boulder;Men;60;Elias;Arriagada Krüger;GER;2000;1T3z 1 8;60;;;;;;;;
boulder;Men;61;Chua;Dennis;SGP;1991;0T3z 0 4;61;;;;;;;;
boulder;Men;61;Rodrigo;Iasi Hanada;BRA;2002;1T2z 1 2;61;;;;;;;;
boulder;Men;63;Roman;Batsenko;UKR;1995;0T3z 0 5;63;;;;;;;;
boulder;Men;63;Calrin;Curtis;RSA;1993;0T3z 0 9;63;;;;;;;;
boulder;Men;65;Mateus;Rodrigues Bellotto;BRA;2003;0T3z 0 7;65;;;;;;;;
boulder;Men;65;Franz Josef;Weber;MEX;1989;0T2z 0 3;65;;;;;;;;
boulder;Men;67;Carlos;Granja;ECU;1999;0T3z 0 11;67;;;;;;;;
boulder;Men;67;José Alejandro;Sauceda Rodríguez;MEX;1997;0T0z 0 0;67;;;;;;;;
boulder;Men;67;Terence;SARAMANDIF;MRI;2002;0T0z 0 0;67;;;;;;;;
boulder;Men;70;Jorge;Loredo Duran;MEX;1998;0T2z 0 7;70;;;;;;;;
boulder;Men;71;Lucas;Pedroza Diaz de León;MEX;2000;0T2z 0 9;71;;;;;;;;
boulder;Women;1;Natalia;Grossman;USA;2001;5T5z 8 8;3;3T4z 5 4;4;;;;;4T4z 10 4;1
boulder;Women;2;Miho;Nonaka;JPN;1997;5T5z 11 10;1;4T4z 10 8;3;;;;;3T4z 5 5;2
boulder;Women;3;Brooke;Raboutou;USA;2001;5T5z 14 14;8;4T4z 9 6;2;;;;;3T4z 6 4;3
boulder;Women;4;Futaba;Ito;JPN;2002;5T5z 15 13;9;3T4z 8 6;6;;;;;3T4z 9 9;4
boulder;Women;5;Chaehyun;SEO;KOR;2003;4T5z 7 9;9;3T4z 6 7;5;;;;;2T4z 2 8;5
boulder;Women;6;Ayala;Kerem;ISR;2001;5T5z 12 11;3;4T4z 8 7;1;;;;;2T4z 3 8;6
boulder;Women;7;Giorgia;Tesio;ITA;2000;4T4z 4 4;19;2T4z 3 14;7;;;;;;
boulder;Women;8;Oriane;Bertone;FRA;2005;5T5z 8 8;3;2T4z 5 6;8;;;;;;
boulder;Women;9;Holly;Toothill;GBR;2001;4T5z 7 8;13;2T4z 6 10;9;;;;;;
