discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Women;6;Natalia;Kalucka;POL;2001;;;;;7.28;3;;;8.29;7.47;;;;6
speed;Women;7;Anouck;Jaubert;FRA;1994;;;;;7.49;5;;;WILDCARD;7.52;;;;7
speed;Women;8;RAJIAH;SALLSABILLAH;INA;1999;;;;;7.24;2;;;7.19;FALL;;;;8
speed;Women;9;Anna;Brozek;POL;1995;;;;;7.84;9;;;7.61;;;;;9
speed;Women;10;Capucine;Viglione;FRA;2002;;;;;8.00;13;;;7.68;;;;;10
speed;Women;11;Giulia;Randi ;ITA;2002;;;;;7.912;10;;;7.87;;;;;11
speed;Women;12;Manon;Lebon;FRA;2005;;;;;8.14;15;;;8.00;;;;;12
speed;Women;13;Janja;Garnbret;SLO;1999;;;;;7.916;11;;;8.01;;;;;13
speed;Women;14;Laura;Stöckler;AUT;1999;;;;;8.07;14;;;8.57;;;;;14
speed;Women;15;Elena;Timofeeva;RUS;1996;;;;;8.17;16;;;10.47;;;;;15
speed;Women;16;NURUL;IQAMAH;INA;1995;;;;;7.918;12;;;FALSE START;;;;;16
speed;Women;17;Victoire;Andrier;FRA;1996;;;;;8.19;17;;;;;;;;
speed;Women;18;Tetiana;Kolkotina;UKR;1992;;;;;8.25;18;;;;;;;;
speed;Women;19;Callie;Close;USA;2004;;;;;8.31;19;;;;;;;;
speed;Women;20;Polina;KULAGINA;RUS;2002;;;;;8.33;20;;;;;;;;
speed;Women;21;Franziska;Ritter;GER;2003;;;;;8.34;21;;;;;;;;
speed;Women;22;Alexandra;Elmer;AUT;1996;;;;;8.35;22;;;;;;;;
speed;Women;23;Julia;Koch;GER;2000;;;;;8.45;23;;;;;;;;
speed;Women;24;María;Laborda Sagaste;ESP;2004;;;;;8.64;24;;;;;;;;
speed;Women;25;Anna;Tsyganova;RUS;1993;;;;;8.65;25;;;;;;;;
speed;Women;26;Kyra;Condie;USA;1996;;;;;8.70;26;;;;;;;;
speed;Women;27;Julia;Chanourdie;FRA;1996;;;;;8.730;27;;;;;;;;
speed;Women;28;Tamara;Ulzhabayeva;KAZ;1987;;;;;8.738;28;;;;;;;;
speed;Women;29;Anna Maria;Apel;GER;2005;;;;;8.87;29;;;;;;;;
speed;Women;30;SUKMA;LINTANG CAHYANI;INA;2004;;;;;8.93;30;;;;;;;;
speed;Women;31;Alejandra;Contreras;CHI;2000;;;;;9.11;31;;;;;;;;
speed;Women;32;Elizaveta;Ivanova;RUS;1999;;;;;9.19;32;;;;;;;;
speed;Women;33;Mia;Krampl;SLO;2000;;;;;9.43;33;;;;;;;;
speed;Women;34;Assel;Marlenova;KAZ;1997;;;;;9.62;34;;;;;;;;
speed;Women;35;Kseniia;Petrova;RUS;1999;;;;;9.75;35;;;;;;;;
speed;Women;36;Valentina;Aguado;ARG;2001;;;;;9.92;36;;;;;;;;
speed;Women;37;Julia;Duffy;USA;2004;;;;;10.23;37;;;;;;;;
speed;Women;38;Isabel;Gifford;USA;1999;;;;;10.42;38;;;;;;;;
speed;Women;39;Hana;Krizova;CZE;2001;;;;;10.65;39;;;;;;;;
speed;Women;40;Laura;Rogora;ITA;2001;;;;;11.11;40;;;;;;;;
speed;Women;;Ignacia;Mellado Quinteros;CHI;2002;;;;;DNS;;;;;;;;;
speed;Women;;Anna;Calanca;ITA;2003;;;;;DNS;;;;;;;;;
speed;Women;;Beatrice;Colli;ITA;2004;;;;;DNS;;;;;;;;;
